Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy
1,3,STFT,All bands,-,Random Forest,0.966796875
1,3,STFT,All bands,-,SVM,0.96875
1,3,STFT,All bands,-,kNN,0.9609375
2,3,STFT,All bands,-,Random Forest,0.76953125
2,3,STFT,All bands,-,SVM,0.935546875
2,3,STFT,All bands,-,kNN,0.958984375
3,3,STFT,All bands,-,Random Forest,0.892578125
3,3,STFT,All bands,-,SVM,0.92578125
3,3,STFT,All bands,-,kNN,0.939453125
4,3,STFT,All bands,-,Random Forest,0.7734375
4,3,STFT,All bands,-,SVM,0.748046875
4,3,STFT,All bands,-,kNN,0.939453125
5,3,STFT,All bands,-,Random Forest,0.845703125
5,3,STFT,All bands,-,SVM,0.923828125
5,3,STFT,All bands,-,kNN,0.923828125
6,3,STFT,All bands,-,Random Forest,0.853515625
6,3,STFT,All bands,-,SVM,0.953125
6,3,STFT,All bands,-,kNN,0.9375
7,3,STFT,All bands,-,Random Forest,0.896484375
7,3,STFT,All bands,-,SVM,0.96875
7,3,STFT,All bands,-,kNN,0.966796875
8,3,STFT,All bands,-,Random Forest,0.841796875
8,3,STFT,All bands,-,SVM,0.931640625
8,3,STFT,All bands,-,kNN,0.943359375
9,3,STFT,All bands,-,Random Forest,0.8671875
9,3,STFT,All bands,-,SVM,0.775390625
9,3,STFT,All bands,-,kNN,0.921875
10,3,STFT,All bands,-,Random Forest,0.92578125
10,3,STFT,All bands,-,SVM,0.94921875
10,3,STFT,All bands,-,kNN,0.958984375
11,3,STFT,All bands,-,Random Forest,0.734375
11,3,STFT,All bands,-,SVM,0.7421875
11,3,STFT,All bands,-,kNN,0.94921875
12,3,STFT,All bands,-,Random Forest,0.935546875
12,3,STFT,All bands,-,SVM,0.953125
12,3,STFT,All bands,-,kNN,0.962890625
13,3,STFT,All bands,-,Random Forest,0.890625
13,3,STFT,All bands,-,SVM,0.966796875
13,3,STFT,All bands,-,kNN,0.953125
14,3,STFT,All bands,-,Random Forest,0.84375
14,3,STFT,All bands,-,SVM,0.951171875
14,3,STFT,All bands,-,kNN,0.97265625
15,3,STFT,All bands,-,Random Forest,0.861328125
15,3,STFT,All bands,-,SVM,0.9609375
15,3,STFT,All bands,-,kNN,0.96875
16,3,STFT,All bands,-,Random Forest,0.86328125
16,3,STFT,All bands,-,SVM,0.90625
16,3,STFT,All bands,-,kNN,0.916015625
17,3,STFT,All bands,-,Random Forest,0.9296875
17,3,STFT,All bands,-,SVM,0.7265625
17,3,STFT,All bands,-,kNN,0.96875
18,3,STFT,All bands,-,Random Forest,0.888671875
18,3,STFT,All bands,-,SVM,0.95703125
18,3,STFT,All bands,-,kNN,0.95703125
19,3,STFT,All bands,-,Random Forest,0.91796875
19,3,STFT,All bands,-,SVM,0.9296875
19,3,STFT,All bands,-,kNN,0.95703125
20,3,STFT,All bands,-,Random Forest,0.919921875
20,3,STFT,All bands,-,SVM,0.970703125
20,3,STFT,All bands,-,kNN,0.982421875
21,3,STFT,All bands,-,Random Forest,0.90625
21,3,STFT,All bands,-,SVM,0.955078125
21,3,STFT,All bands,-,kNN,0.955078125
22,3,STFT,All bands,-,Random Forest,0.810546875
22,3,STFT,All bands,-,SVM,0.8359375
22,3,STFT,All bands,-,kNN,0.939453125
23,3,STFT,All bands,-,Random Forest,0.93359375
23,3,STFT,All bands,-,SVM,0.978515625
23,3,STFT,All bands,-,kNN,0.955078125
24,3,STFT,All bands,-,Random Forest,0.80078125
24,3,STFT,All bands,-,SVM,0.939453125
24,3,STFT,All bands,-,kNN,0.96484375
25,3,STFT,All bands,-,Random Forest,0.921875
25,3,STFT,All bands,-,SVM,0.919921875
25,3,STFT,All bands,-,kNN,0.939453125
26,3,STFT,All bands,-,Random Forest,0.84765625
26,3,STFT,All bands,-,SVM,0.970703125
26,3,STFT,All bands,-,kNN,0.96875
27,3,STFT,All bands,-,Random Forest,0.87890625
27,3,STFT,All bands,-,SVM,0.92578125
27,3,STFT,All bands,-,kNN,0.912109375
28,3,STFT,All bands,-,Random Forest,0.845703125
28,3,STFT,All bands,-,SVM,0.94140625
28,3,STFT,All bands,-,kNN,0.94140625
29,3,STFT,All bands,-,Random Forest,0.89453125
29,3,STFT,All bands,-,SVM,0.98046875
29,3,STFT,All bands,-,kNN,0.96875
30,3,STFT,All bands,-,Random Forest,0.806640625
30,3,STFT,All bands,-,SVM,0.947265625
30,3,STFT,All bands,-,kNN,0.94140625
31,3,STFT,All bands,-,Random Forest,0.908203125
31,3,STFT,All bands,-,SVM,0.9375
31,3,STFT,All bands,-,kNN,0.92578125
32,3,STFT,All bands,-,Random Forest,0.865234375
32,3,STFT,All bands,-,SVM,0.9609375
32,3,STFT,All bands,-,kNN,0.95703125
