max_depth,C,kernel,n_neighbors
5,20.0,linear,7
10,20.0,linear,5
10,20.0,linear,9
5,20.0,linear,11
10,5.0,linear,11
10,5.0,linear,9
10,5.0,linear,11
5,5.0,linear,9
10,5.0,linear,11
10,20.0,linear,5
10,20.0,linear,7
10,5.0,linear,5
5,50.0,rbf,5
10,5.0,linear,11
5,5.0,linear,11
10,5.0,linear,5
5,5.0,linear,11
10,5.0,linear,9
10,50.0,linear,5
10,20.0,rbf,5
10,20.0,rbf,9
5,20.0,linear,5
10,5.0,rbf,9
10,5.0,linear,7
15,5.0,linear,5
10,5.0,linear,11
5,5.0,rbf,5
5,5.0,linear,7
10,20.0,linear,7
10,5.0,linear,11
5,20.0,rbf,11
5,20.0,linear,11
