Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
1,4,STFT,All bands,Literature,Random Forest,0.91015625,0.8938775510204081,0.9250936329588015,0.9163179916317992,0.9047619047619048,0.9049586776859503,0.9148148148148149
1,4,STFT,All bands,Literature,SVM,0.7421875,0.7065637065637066,0.7786561264822134,0.7656903765690377,0.7216117216117216,0.7349397590361447,0.7490494296577946
1,4,STFT,All bands,Own,Random Forest,0.89453125,0.8627450980392157,0.9260700389105059,0.9205020920502092,0.8717948717948718,0.8906882591093117,0.8981132075471698
1,4,STFT,All bands,Own,SVM,0.908203125,0.9102564102564102,0.9064748201438849,0.891213389121339,0.9230769230769231,0.9006342494714588,0.9147005444646098
2,4,STFT,All bands,Literature,Random Forest,0.72265625,0.6954022988505747,0.7804878048780488,0.8705035971223022,0.5470085470085471,0.7731629392971247,0.6432160804020101
2,4,STFT,All bands,Literature,SVM,0.615234375,0.622356495468278,0.6022099447513812,0.7410071942446043,0.4658119658119658,0.6765188834154351,0.5253012048192771
2,4,STFT,All bands,Own,Random Forest,0.845703125,0.8491228070175438,0.8414096916299559,0.8705035971223022,0.8162393162393162,0.8596802841918295,0.8286334056399132
2,4,STFT,All bands,Own,SVM,0.861328125,0.8736462093862816,0.8468085106382979,0.8705035971223022,0.8504273504273504,0.8720720720720722,0.8486140724946696
3,4,STFT,All bands,Literature,Random Forest,0.869140625,0.8214285714285714,0.9411764705882353,0.9547169811320755,0.7773279352226721,0.8830715532286213,0.8514412416851441
3,4,STFT,All bands,Literature,SVM,0.630859375,0.6098265895953757,0.6746987951807228,0.7962264150943397,0.4534412955465587,0.6906710310965631,0.5423728813559322
3,4,STFT,All bands,Own,Random Forest,0.857421875,0.8428571428571429,0.875,0.8905660377358491,0.8218623481781376,0.8660550458715597,0.8475991649269311
3,4,STFT,All bands,Own,SVM,0.873046875,0.8703703703703703,0.8760330578512396,0.8867924528301887,0.8582995951417004,0.8785046728971964,0.8670756646216768
4,4,STFT,All bands,Literature,Random Forest,0.779296875,0.9306930693069307,0.7420924574209246,0.47,0.9775641025641025,0.6245847176079734,0.8437067773167358
4,4,STFT,All bands,Literature,SVM,0.74609375,0.7083333333333334,0.7645348837209303,0.595,0.842948717948718,0.6467391304347826,0.801829268292683
4,4,STFT,All bands,Own,Random Forest,0.720703125,0.9384615384615385,0.6890380313199105,0.305,0.9871794871794872,0.46037735849056605,0.8115942028985507
4,4,STFT,All bands,Own,SVM,0.802734375,0.8113207547169812,0.7988668555240793,0.645,0.9038461538461539,0.7186629526462395,0.8481203007518797
5,4,STFT,All bands,Literature,Random Forest,0.75390625,0.8715953307392996,0.6352941176470588,0.7066246056782335,0.8307692307692308,0.7804878048780488,0.7199999999999999
5,4,STFT,All bands,Literature,SVM,0.6640625,0.7843137254901961,0.5447470817120622,0.6309148264984227,0.717948717948718,0.6993006993006993,0.6194690265486725
5,4,STFT,All bands,Own,Random Forest,0.845703125,0.847953216374269,0.8411764705882353,0.9148264984227129,0.7333333333333333,0.8801213960546281,0.7835616438356164
5,4,STFT,All bands,Own,SVM,0.90625,0.9088145896656535,0.9016393442622951,0.943217665615142,0.8461538461538461,0.9256965944272446,0.873015873015873
6,4,STFT,All bands,Literature,Random Forest,0.875,0.8600917431192661,0.9605263157894737,0.9920634920634921,0.5447761194029851,0.9213759213759215,0.6952380952380952
6,4,STFT,All bands,Literature,SVM,0.85546875,0.8762376237623762,0.7777777777777778,0.9365079365079365,0.6268656716417911,0.9053708439897699,0.694214876033058
6,4,STFT,All bands,Own,Random Forest,0.853515625,0.8374164810690423,0.9682539682539683,0.9947089947089947,0.4552238805970149,0.9093107617896009,0.6192893401015228
6,4,STFT,All bands,Own,SVM,0.927734375,0.9428571428571428,0.8818897637795275,0.9603174603174603,0.835820895522388,0.9515072083879424,0.8582375478927202
7,4,STFT,All bands,Literature,Random Forest,0.830078125,0.7995391705069125,1.0,1.0,0.4727272727272727,0.8886043533930859,0.6419753086419753
