Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
1,4,STFT,All bands,Literature,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Literature,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Literature,kNN,0.95703125,0.950207468879668,0.9630996309963099,0.9581589958158996,0.9560439560439561,0.9541666666666666,0.9595588235294118
1,4,STFT,All bands,Own,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Own,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Own,kNN,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
2,4,STFT,All bands,Literature,Random Forest,0.94921875,0.9598540145985401,0.9369747899159664,0.9460431654676259,0.9529914529914529,0.9528985507246377,0.9449152542372881
2,4,STFT,All bands,Literature,SVM,0.88671875,0.8374233128834356,0.9731182795698925,0.9820143884892086,0.7735042735042735,0.9039735099337749,0.861904761904762
2,4,STFT,All bands,Literature,kNN,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,Random Forest,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,SVM,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,kNN,0.958984375,0.9326599326599326,0.9953488372093023,0.9964028776978417,0.9145299145299145,0.9634782608695653,0.953229398663697
