max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,13
max_depth,C,kernel,n_neighbors
12,5.0,rbf,15
max_depth,C,kernel,n_neighbors
10,5.0,rbf,12
max_depth,C,kernel,n_neighbors
12,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,5.0,linear,15
max_depth,C,kernel,n_neighbors
12,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,linear,9
max_depth,C,kernel,n_neighbors
10,25.0,linear,15
max_depth,C,kernel,n_neighbors
12,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,5.0,linear,15
max_depth,C,kernel,n_neighbors
12,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,linear,9
max_depth,C,kernel,n_neighbors
10,25.0,linear,15
max_depth,C,kernel,n_neighbors
12,5.0,linear,9
max_depth,C,kernel,n_neighbors
10,5.0,linear,5
max_depth,C,kernel,n_neighbors
10,5.0,linear,9
max_depth,C,kernel,n_neighbors
12,25.0,linear,15
max_depth,C,kernel,n_neighbors
12,25.0,linear,9
max_depth,C,kernel,n_neighbors
7,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,5.0,linear,7
max_depth,C,kernel,n_neighbors
12,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,5.0,linear,12
max_depth,C,kernel,n_neighbors
12,5.0,linear,15
max_depth,C,kernel,n_neighbors
10,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,linear,15
max_depth,C,kernel,n_neighbors
10,10.0,linear,7
max_depth,C,kernel,n_neighbors
10,5.0,rbf,15
max_depth,C,kernel,n_neighbors
10,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,rbf,13
max_depth,C,kernel,n_neighbors
10,10.0,rbf,7
max_depth,C,kernel,n_neighbors
12,25.0,linear,12
max_depth,C,kernel,n_neighbors
10,5.0,linear,15
max_depth,C,kernel,n_neighbors
10,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,rbf,5
max_depth,C,kernel,n_neighbors
7,25.0,rbf,15
max_depth,C,kernel,n_neighbors
12,25.0,rbf,15
max_depth,C,kernel,n_neighbors
12,25.0,rbf,13
max_depth,C,kernel,n_neighbors
10,5.0,linear,9
max_depth,C,kernel,n_neighbors
12,5.0,linear,15
max_depth,C,kernel,n_neighbors
7,25.0,rbf,9
max_depth,C,kernel,n_neighbors
12,25.0,rbf,15
max_depth,C,kernel,n_neighbors
7,5.0,rbf,7
max_depth,C,kernel,n_neighbors
12,25.0,rbf,5
max_depth,C,kernel,n_neighbors
12,25.0,rbf,7
max_depth,C,kernel,n_neighbors
12,10.0,linear,12
max_depth,C,kernel,n_neighbors
12,25.0,linear,15
max_depth,C,kernel,n_neighbors
12,25.0,linear,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,13
max_depth,C,kernel,n_neighbors
10,25.0,rbf,9
max_depth,C,kernel,n_neighbors
12,25.0,linear,13
max_depth,C,kernel,n_neighbors
12,25.0,linear,9
max_depth,C,kernel,n_neighbors
12,5.0,linear,9
max_depth,C,kernel,n_neighbors
7,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,10.0,rbf,15
max_depth,C,kernel,n_neighbors
10,25.0,linear,9
max_depth,C,kernel,n_neighbors
12,25.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,9
max_depth,C,kernel,n_neighbors
7,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,10.0,linear,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,13
max_depth,C,kernel,n_neighbors
10,10.0,rbf,13
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,10.0,rbf,12
max_depth,C,kernel,n_neighbors
10,25.0,rbf,12
max_depth,C,kernel,n_neighbors
10,25.0,rbf,5
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
7,25.0,rbf,9
max_depth,C,kernel,n_neighbors
7,5.0,linear,5
max_depth,C,kernel,n_neighbors
10,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,5.0,linear,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
10,25.0,rbf,13
max_depth,C,kernel,n_neighbors
10,25.0,linear,7
max_depth,C,kernel,n_neighbors
12,5.0,linear,12
max_depth,C,kernel,n_neighbors
10,25.0,rbf,7
max_depth,C,kernel,n_neighbors
10,25.0,rbf,15
max_depth,C,kernel,n_neighbors
12,25.0,rbf,9
max_depth,C,kernel,n_neighbors
10,25.0,linear,15
max_depth,C,kernel,n_neighbors
10,5.0,rbf,15
max_depth,C,kernel,n_neighbors
10,5.0,linear,13
max_depth,C,kernel,n_neighbors
10,25.0,rbf,12
max_depth,C,kernel,n_neighbors
7,5.0,linear,12
max_depth,C,kernel,n_neighbors
10,25.0,linear,7
max_depth,C,kernel,n_neighbors
12,25.0,linear,7
max_depth,C,kernel,n_neighbors
10,5.0,linear,15
