Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Sadness precision,Pleasure precision,Anger precision,Joy precision,Sadness recall,Pleasure recall,Anger recall,Joy recall,Sadness f1-score,Pleasure f1-score,Anger f1-score,Joy f1-score
1,6,STFT,All bands,-,Random Forest,0.939453125,0.9464285714285714,0.9492753623188406,0.918918918918919,0.9361702127659575,0.9217391304347826,0.9097222222222222,0.9444444444444444,0.9723756906077348,0.9339207048458149,0.9290780141843973,0.9315068493150684,0.9539295392953929
1,6,STFT,All bands,-,SVM,0.939453125,0.9464285714285714,0.9492753623188406,0.918918918918919,0.9361702127659575,0.9217391304347826,0.9097222222222222,0.9444444444444444,0.9723756906077348,0.9339207048458149,0.9290780141843973,0.9315068493150684,0.9539295392953929
1,6,STFT,All bands,-,kNN,0.939453125,0.9464285714285714,0.9492753623188406,0.918918918918919,0.9361702127659575,0.9217391304347826,0.9097222222222222,0.9444444444444444,0.9723756906077348,0.9339207048458149,0.9290780141843973,0.9315068493150684,0.9539295392953929
2,6,STFT,All bands,-,Random Forest,0.916015625,0.7755102040816326,0.9888888888888889,0.8962264150943396,0.9250936329588015,0.9047619047619048,0.9175257731958762,0.8050847457627118,0.9686274509803922,0.8351648351648353,0.9518716577540107,0.8482142857142857,0.9463601532567051
2,6,STFT,All bands,-,SVM,0.916015625,0.7755102040816326,0.9888888888888889,0.8962264150943396,0.9250936329588015,0.9047619047619048,0.9175257731958762,0.8050847457627118,0.9686274509803922,0.8351648351648353,0.9518716577540107,0.8482142857142857,0.9463601532567051
2,6,STFT,All bands,-,kNN,0.912109375,0.7755102040816326,0.9888888888888889,0.9019607843137255,0.915129151291513,0.9047619047619048,0.9175257731958762,0.7796610169491526,0.9725490196078431,0.8351648351648353,0.9518716577540107,0.8363636363636364,0.9429657794676806
3,6,STFT,All bands,-,Random Forest,0.947265625,0.91,0.8292682926829268,0.9832775919732442,0.9166666666666666,0.9891304347826086,0.8947368421052632,0.9453376205787781,0.9295774647887324,0.9479166666666667,0.860759493670886,0.9639344262295081,0.9230769230769231
3,6,STFT,All bands,-,SVM,0.947265625,0.91,0.8292682926829268,0.9832775919732442,0.9166666666666666,0.9891304347826086,0.8947368421052632,0.9453376205787781,0.9295774647887324,0.9479166666666667,0.860759493670886,0.9639344262295081,0.9230769230769231
3,6,STFT,All bands,-,kNN,0.943359375,0.9166666666666666,0.8292682926829268,0.9614147909967846,0.96875,0.9565217391304348,0.8947368421052632,0.9614147909967846,0.8732394366197183,0.9361702127659574,0.860759493670886,0.9614147909967846,0.9185185185185184
4,6,STFT,All bands,-,Random Forest,0.904296875,0.9295774647887324,0.896551724137931,0.8513513513513513,0.8985507246376812,0.9565217391304348,0.8764044943820225,0.84,0.8794326241134752,0.9428571428571428,0.8863636363636365,0.8456375838926175,0.888888888888889
4,6,STFT,All bands,-,SVM,0.896484375,0.9049773755656109,0.896551724137931,0.8513513513513513,0.9076923076923077,0.966183574879227,0.8764044943820225,0.84,0.8368794326241135,0.9345794392523363,0.8863636363636365,0.8456375838926175,0.8708487084870848
4,6,STFT,All bands,-,kNN,0.890625,0.9375,0.896551724137931,0.8833333333333333,0.8280254777070064,0.9420289855072463,0.8764044943820225,0.7066666666666667,0.9219858156028369,0.9397590361445783,0.8863636363636365,0.7851851851851853,0.87248322147651
5,6,STFT,All bands,-,Random Forest,0.91015625,0.8899082568807339,0.8703703703703703,0.95,0.9116465863453815,0.9238095238095239,0.8103448275862069,0.9223300970873787,0.9227642276422764,0.9065420560747663,0.8392857142857144,0.9359605911330049,0.9171717171717172
5,6,STFT,All bands,-,SVM,0.91015625,0.8899082568807339,0.8703703703703703,0.95,0.9116465863453815,0.9238095238095239,0.8103448275862069,0.9223300970873787,0.9227642276422764,0.9065420560747663,0.8392857142857144,0.9359605911330049,0.9171717171717172
5,6,STFT,All bands,-,kNN,0.91015625,0.9207920792079208,0.8703703703703703,0.95,0.8988326848249028,0.8857142857142857,0.8103448275862069,0.9223300970873787,0.9390243902439024,0.9029126213592233,0.8392857142857144,0.9359605911330049,0.9184890656063619
6,6,STFT,All bands,-,Random Forest,0.927734375,0.9230769230769231,0.9230769230769231,0.9076923076923077,0.9509803921568627,0.8727272727272727,0.8780487804878049,0.9414893617021277,0.9509803921568627,0.897196261682243,0.9,0.9242819843342037,0.9509803921568627
6,6,STFT,All bands,-,SVM,0.912109375,0.78125,0.9230769230769231,0.9076923076923077,0.9583333333333334,0.9090909090909091,0.8780487804878049,0.9414893617021277,0.9019607843137255,0.8403361344537814,0.9,0.9242819843342037,0.9292929292929293
6,6,STFT,All bands,-,kNN,0.92578125,0.9230769230769231,0.9230769230769231,0.895,0.9597989949748744,0.8727272727272727,0.8780487804878049,0.9521276595744681,0.9362745098039216,0.897196261682243,0.9,0.9226804123711341,0.9478908188585609
7,6,STFT,All bands,-,Random Forest,0.90625,0.8928571428571429,0.8387096774193549,0.8709677419354839,0.9462809917355371,0.9493670886075949,0.8666666666666667,0.84375,0.9346938775510204,0.920245398773006,0.8524590163934426,0.8571428571428571,0.9404517453798767
7,6,STFT,All bands,-,SVM,0.90625,0.8928571428571429,0.8387096774193549,0.8709677419354839,0.9462809917355371,0.9493670886075949,0.8666666666666667,0.84375,0.9346938775510204,0.920245398773006,0.8524590163934426,0.8571428571428571,0.9404517453798767
7,6,STFT,All bands,-,kNN,0.90234375,0.8928571428571429,0.8596491228070176,0.8260869565217391,0.9613733905579399,0.9493670886075949,0.8166666666666667,0.890625,0.9142857142857143,0.920245398773006,0.8376068376068376,0.8571428571428571,0.9372384937238494
8,6,STFT,All bands,-,Random Forest,0.88671875,0.9069767441860465,0.7676056338028169,0.8493150684931506,0.9606299212598425,0.78,0.8934426229508197,0.8732394366197183,0.9070631970260223,0.8387096774193548,0.8257575757575756,0.861111111111111,0.9330783938814532
8,6,STFT,All bands,-,SVM,0.88671875,0.9069767441860465,0.7676056338028169,0.8493150684931506,0.9606299212598425,0.78,0.8934426229508197,0.8732394366197183,0.9070631970260223,0.8387096774193548,0.8257575757575756,0.861111111111111,0.9330783938814532
8,6,STFT,All bands,-,kNN,0.90234375,0.8909090909090909,0.868421052631579,0.7802197802197802,0.9642857142857143,0.98,0.8114754098360656,1.0,0.9033457249070632,0.9333333333333333,0.8389830508474576,0.8765432098765432,0.9328214971209213
